,0
0,aaron
1,abandon
2,abandoned
3,abdalla
4,abdiwahab
5,abducted
6,abdul
7,abdullah
8,abgadam
9,abhors
10,abide
11,ability
12,ablaze
13,abortion
14,abortions
15,absurd
16,abuses
17,abyei
18,academy
19,accelerate
20,accepted
21,access
22,accessing
23,accompanying
24,accord
25,accords
26,accountability
27,accountable
28,accounts
29,accusations
30,accused
31,accusing
32,acknowledge
33,acknowledged
34,acled
35,acres
36,acronym
37,action
38,actively
39,activism
40,activists
41,activity
42,actors
43,actress
44,acts
45,acute
46,adam
47,adding
48,addition
49,additionally
50,address
51,addressing
52,adds
53,aden
54,adf
55,adjudicating
56,administer
57,administering
58,administration
59,administrations
60,adolescent
61,adopts
62,adults
63,advance
64,advanced
65,advances
66,adviser
67,advisers
68,advocacy
69,advocates
70,aerial
71,affect
72,affiliated
73,affiliates
74,affleck
75,afghan
76,afghanistan
77,afp
78,africa
79,african
80,aftermath
81,afternoon
82,age
83,agence
84,agency
85,agenda
86,agents
87,aggression
88,aggressively
89,aggressor
90,agoa
91,agree
92,agreement
93,ahmed
94,aid
95,aimed
96,aiming
97,aims
98,air
99,aircraft
100,airport
101,airways
102,al
103,alarming
104,albeit
105,alcohol
106,alien
107,aligned
108,allegations
109,alleged
110,allegedly
111,allies
112,allow
113,ally
114,allying
115,alter
116,alternatively
117,amanpour
118,ambassador
119,ambitions
120,ambushed
121,america
122,american
123,americans
124,ammunition
125,amnesty
126,amos
127,analyses
128,analysis
129,analyst
130,analysts
131,analyze
132,analyzed
133,anarchy
134,ancestral
135,andrew
136,angeles
137,angelina
138,anger
139,anglicans
140,anglophone
141,angola
142,annan
143,announced
144,announcing
145,annual
146,annulled
147,anthem
148,anthony
149,anthropologists
150,antidote
151,antonio
152,ap
153,api
154,appeal
155,appealed
156,appeared
157,appears
158,application
159,approach
160,april
161,arab
162,arabia
163,arabs
164,argentina
165,argued
166,arguing
167,arid
168,arkansas
169,armed
170,armenians
171,army
172,arose
173,array
174,arrest
175,arrested
176,arrests
177,arrives
178,arriving
179,arrogance
180,article
181,asia
182,asian
183,aspect
184,aspirations
185,assad
186,assassinated
187,assaults
188,assembly
189,assert
190,assertive
191,assets
192,association
193,asylum
194,athletes
195,atrocities
196,attack
197,attackers
198,attacking
199,attempt
200,attempts
201,attention
202,attorney
203,attributable
204,attribute
205,au
206,audits
207,aug
208,august
209,auma
210,australia
211,authored
212,authoritarian
213,authorities
214,authorization
215,authorizing
216,avengers
217,average
218,avoid
219,avoidance
220,avoiding
221,awaited
222,awarded
223,awards
224,aware
225,babies
226,back
227,backdrop
228,backers
229,backlash
230,bad
231,bahrain
232,balkans
233,ballot
234,baltimore
235,bambari
236,bangladesh
237,bangui
238,bank
239,banning
240,barack
241,barbaric
242,barred
243,based
244,bashar
245,bashir
246,battles
247,battling
248,bauma
249,bayanga
250,bazaar
251,beaten
252,began
253,begets
254,begin
255,begira
256,behavior
257,behind
258,beijing
259,beirut
260,bekele
261,belgian
262,belgians
263,belgium
264,believed
265,believers
266,believes
267,believing
268,belonged
269,bemba
270,ben
271,benefited
272,beni
273,benjamin
274,bensouda
275,benue
276,berman
277,beto
278,betrayal
279,biden
280,big
281,biggest
282,bill
283,billion
284,bin
285,bipartisan
286,bishop
287,bishops
288,black
289,blacks
290,blame
291,blamed
292,blaming
293,blocked
294,blocking
295,blogs
296,bloodbath
297,bloodshed
298,bloody
299,board
300,body
301,boehner
302,boko
303,bold
304,bolster
305,bombardments
306,bombing
307,bombings
308,book
309,booming
310,boost
311,bor
312,border
313,bordering
314,borders
315,born
316,borne
317,bosco
318,bosnia
319,bosnian
320,bossangoa
321,bouckaert
322,boulder
323,boundaries
324,boxes
325,boy
326,boycott
327,bozize
328,branded
329,brazil
330,brazilian
331,break
332,breakdown
333,breaks
334,brennan
335,bribery
336,briefing
337,brigade
338,bring
339,bringing
340,brink
341,britain
342,british
343,broadcast
344,broader
345,brokered
346,brooklyn
347,brotherhood
348,brothers
349,brought
350,brown
351,brutality
352,buddhists
353,build
354,building
355,bukavu
356,bulgarians
357,bullying
358,burgeoning
359,burkina
360,burma
361,burundi
362,burundian
363,bush
364,bushes
365,business
366,businessman
367,cabinet
368,cairo
369,calculations
370,calibri
371,california
372,called
373,calling
374,callous
375,cambodia
376,cameron
377,cameroon
378,cameroonian
379,camille
380,camp
381,campaign
382,camps
383,canada
384,cancel
385,candidate
386,candidates
387,cape
388,capital
389,capitals
390,captain
391,capture
392,captured
393,capturing
394,car
395,cardboard
396,care
397,carnage
398,carolina
399,carrier
400,carrying
401,casting
402,casualties
403,catalyst
404,catalysts
405,catastrophic
406,catherine
407,catholic
408,caused
409,causing
410,caution
411,cease
412,ceasefire
413,celebrate
414,celebrated
415,celebrating
416,celebrations
417,center
418,central
419,centralized
420,centre
421,century
422,ceo
423,ceremony
424,chad
425,chadian
426,chaired
427,chairs
428,challenge
429,challenges
430,chance
431,change
432,chants
433,chapter
434,characterization
435,characters
436,charges
437,charity
438,charles
439,charlottesville
440,chatterjee
441,check
442,checks
443,chemical
444,chicago
445,chief
446,child
447,children
448,chile
449,china
450,chinese
451,chip
452,cholera
453,chris
454,christian
455,christmas
456,chronic
457,cia
458,circulated
459,circumstance
460,citing
461,citizens
462,citizenship
463,city
464,civil
465,civilian
466,civilians
467,claim
468,claiming
469,claims
470,clashes
471,class
472,cleansing
473,clear
474,clerics
475,client
476,climate
477,clinging
478,clinical
479,clinton
480,clooney
481,close
482,closely
483,cndp
484,cnn
485,coalition
486,coast
487,coastal
488,cobalt
489,codes
490,coercion
491,coexisted
492,coexistence
493,cohesion
494,cohesive
495,cold
496,colin
497,collaboration
498,collection
499,collects
500,college
501,colombia
502,color
503,colorado
504,coltan
505,columnist
506,combat
507,combatants
508,combine
509,coming
510,command
511,commanders
512,commemorates
513,commend
514,comment
515,commission
516,commit
517,committed
518,committee
519,committing
520,common
521,communal
522,communist
523,communities
524,comoran
525,company
526,compared
527,comparing
528,complaint
529,complaints
530,complexity
531,complicate
532,complicating
533,comprehensive
534,compromises
535,computers
536,comrade
537,concern
538,concerns
539,conciliatory
540,concluded
541,concludes
542,condemn
543,condemnation
544,condemning
545,conditions
546,conduct
547,conference
548,confidential
549,confirmed
550,conflicts
551,confluence
552,confront
553,confrontation
554,confronted
555,congo
556,congolese
557,congress
558,connected
559,connections
560,conscription
561,consequences
562,conservation
563,conservationists
564,conservative
565,considered
566,considers
567,consistently
568,consolidate
569,consolidation
570,constituents
571,constituted
572,constitutes
573,constitution
574,consultancy
575,consultant
576,consume
577,consumers
578,contend
579,contender
580,contends
581,content
582,contentious
583,contestants
584,contested
585,continent
586,contingent
587,contingents
588,continuation
589,continue
590,continued
591,contributed
592,contributes
593,contributing
594,control
595,controversial
596,convened
597,conversation
598,convicted
599,convictions
600,convincing
601,convoy
602,convoys
603,cooper
604,cooperation
605,coordination
606,coordinator
607,copper
608,cops
609,coronavirus
610,corporation
611,corporations
612,corps
613,correlations
614,cost
615,costa
616,costs
617,council
618,counseling
619,counted
620,counterpart
621,counterterrorism
622,counting
623,country
624,counts
625,county
626,couple
627,coups
628,courageously
629,course
630,court
631,cover
632,covid
633,cpa
634,crackdown
635,crashed
636,create
637,created
638,creates
639,credibility
640,credible
641,credited
642,creeping
643,cries
644,crimea
645,crimes
646,crippling
647,crises
648,critical
649,criticism
650,criticize
651,criticized
652,crocker
653,crops
654,crossfire
655,crossing
656,crowd
657,cuisine
658,culturally
659,culture
660,curbed
661,curbing
662,curfew
663,current
664,cycmanick
665,czech
666,dabanga
667,dadaab
668,daesh
669,dagalo
670,daily
671,dakar
672,dallas
673,damage
674,damaging
675,dangerous
676,dangerously
677,dangers
678,daniel
679,darfur
680,darfuri
681,darfurian
682,dark
683,data
684,daughter
685,david
686,day
687,dayton
688,de
689,deadliest
690,deadly
691,deal
692,dealing
693,deals
694,dealt
695,death
696,deaths
697,debate
698,debates
699,debt
700,decade
701,decades
702,decided
703,decimated
704,decision
705,declare
706,declared
707,declaring
708,declined
709,declining
710,deemed
711,deepening
712,deepest
713,deeply
714,defence
715,defenders
716,defending
717,defense
718,defines
719,definition
720,degrade
721,delaying
722,delegation
723,deliver
724,delivering
725,demand
726,democracies
727,democracy
728,democratic
729,demonstrating
730,demonstrations
731,denied
732,denis
733,denounce
734,densely
735,denver
736,deny
737,denying
738,department
739,departure
740,depicting
741,deploy
742,deployed
743,deposed
744,deputy
745,der
746,derail
747,descended
748,described
749,describes
750,describing
751,designation
752,designer
753,desperate
754,destabilize
755,destabilized
756,destabilizing
757,destroyed
758,destroying
759,destroys
760,destruction
761,details
762,detect
763,detective
764,detention
765,deter
766,deteriorate
767,deteriorating
768,determine
769,devastated
770,devastating
771,developed
772,development
773,devolution
774,dialogue
775,diamonds
776,dictator
777,dictatorship
778,died
779,diffuse
780,dimension
781,dinka
